id,name,sector,rating
1,AMERICAN TOWER CORPORATION,0,BBB
2,ANHEUSER BUSCH INBEV NV,0,A-
3,AT&T INC,0,BBB
4,BARCLAYS PLC,0,BBB
5,BELGIUM KINGDOM OF (GOVERNMENT),0,AA-
6,BOOKING HOLDINGS INC,0,A-
7,BP CAPITAL MARKETS BV,0,A
8,BPCE SA,0,BBB+
9,BRITISH TELECOMMUNICATIONS PLC,0,BBB
10,BUNDESREPUBLIK DEUTSCHLAND,0,AAAA
11,CADENT FINANCE PLC,0,BBB+
12,CAIXABANK SA,0,BBB+
13,CITIGROUP INC,0,BBB
14,COMCAST CORPORATION,0,A-
15,CREDIT AGRICOLE SA,0,A-
16,DEUTSCHE BANK AG,0,BBB+
17,DH EUROPE FINANCE II SARL,0,A-
18,DIAGEO CAPITAL BV,0,A-
19,DIGITAL DUTCH FINCO BV,0,BBB
20,ENEL FINANCE INTERNATIONAL NV,0,BBB
21,ENGIE SA,0,BBB+
22,ENI SPA,0,A-
23,FIDELITY NATIONAL INFORMATION SERV,0,BBB
24,FRANCE (REPUBLIC OF),0,A+
25,GELF BOND ISSUER I SA,0,BBB+
26,GENERAL MILLS INC,0,BBB
27,GERMANY (FEDERAL REPUBLIC OF),0,AAAA
28,HEINEKEN NV,0,A-
29,HSBC HOLDINGS PLC,0,A-
30,IHG FINANCE LLC,0,BBB
31,ING GROEP NV,0,A-
32,ITALY (REPUBLIC OF),0,BBB
33,KONINKLIJKE KPN NV,0,BBB
34,LIBERTY MUTUAL GROUP INC,0,BBB
35,LLOYDS BANKING GROUP PLC,0,BBB+
36,LONDON POWER NETWORKS PLC,0,A-
37,MANCHESTER AIRPORT GROUP FUNDING P,0,BBB+
38,METROPOLITAN LIFE GLOBAL FUNDING I,0,AA-
39,MORGAN STANLEY,0,A
40,NATIONAL GRID PLC,0,BBB
41,NATWEST GROUP PLC,0,A-
42,NETHERLANDS (KINGDOM OF),0,AAA
43,OMV AG,0,A-
44,PROLOGIS INTERNATIONAL FUNDING II,0,A-
45,RECKITT BENCKISER TREASURY SERVICE,0,A-
46,SEGRO PLC,0,A-
47,SEVERN TRENT UTILITIES FINANCE PLC,0,BBB+
48,SHELL INTERNATIONAL FINANCE BV,0,AA-
49,SPAIN (KINGDOM OF),0,A
50,STANDARD CHARTERED PLC,0,A-
51,TELEFONICA EMISIONES SAU,0,BBB-
52,TESCO CORPORATE TREASURY SERVICES,0,BBB-
53,THERMO FISHER SCIENTIFIC INC,0,A-
54,TOTALENERGIES CAPITAL INTERNATIONA,0,A+
55,UBS GROUP AG,0,A-
56,UNICREDIT SPA,0,BBB
57,UNITED UTILITIES WATER FINANCE PLC,0,BBB+
58,VEOLIA ENVIRONNEMENT SA,0,BBB
59,VERIZON COMMUNICATIONS INC,0,BBB+
60,VESTEDA FINANCE BV,0,A-
61,VINCI SA,0,A-
